billname,xgb_ap_score
interstate compact on industrialized/modular buildings,0.028591943722958466
broadcom,0.11891662838699628
interstate forest fire suppression compact,0.0902398676592225
statutory will act (1984),0.09368191721132897
chartersch,0.1612282868535673
colcanscr,0.0796827178845095
neartotalban,0.03704237071172555
sexreginfo,0.12741261406389634
statutory form power of attorney act,0.03822697370899226
prudent investor act,0.09201650272750872
gagrule,0.05013577881320211
"ucc article 3, negotiable instruments (1990)",0.3765159533869624
"intestacy, wills, and donative transfers act",0.04483303879092291
bldstds_yearadopted,0.2384918462268363
supp_research,0.24682055062777575
corporlimits,0.8640270458622235
regulation_bicycle_helmet,0.22765455094410283
filmtaxcredit,0.13901908801997184
famcap,0.2253059600488185
simultaneous death act,0.02719560497579059
unionlimits,0.9085797523225004
candlim,0.08619499161925248
famlim,0.7727064499560825
abortion_consent_1992_201,0.05771621159453433
indlimit,0.7735919325100689
offwmh,0.041224441964189944
unincorporated nonprofit association act (1992)(1996),0.03374798861204609
timelim,0.16160117071957888
msas,0.4087891962500633
pubaccess,0.1473910265305147
gilaw,0.2596081191014223
regulation_rfr,0.025160308090842284
pubbrefeed,0.19574230877065305
meritaid,0.06786073753357125
breastfeed,0.21857757939654684
interstate family support act (1992)(1996),0.44138717772066255
threestrikes,0.20555163160700748
partnership act (1997) (last amended 2013),0.16480147002316223
meritstateadmin,0.08117231686355396
multiple-person accounts,0.03262755519885998
writreq,0.04443735426655435
gay_employment_discrim_genderi,0.18082189110507976
manaccess,0.0638555836796668
w_gayright_publi_accom_genderi,0.1551438500674895
idas,0.1683058931991014
national guard mutual assistance counter-drug activities compact,0.13148875311259287
gaymarban,0.10151158674632084
indorgris,0.0861514384564797
standground,0.032705887576870644
manclin,0.047360972356971814
sdce,0.12199963866911334
universalprek,0.020580479828617097
ide,0.28527803742150454
paperterror,0.2660101681447535
health-care decisions act,0.01966857095491252
correction or clarification of defamation,0.02903387138645816
drugs_smoking_ban_restaurant,0.3442309697725418
neighnot,0.03503017777389429
w_animal_cruelty_felon,0.027503108013281072
mandnot,0.059868526714091284
medianot,0.5033901400573014
"victims of crime act, model",0.07211538461538462
common interest ownership act (1994),0.03426629243622708
interstate insurance receivership compact,0.023589122700965772
"ucc article 8, investment securities (1994)",0.6312452244319885
unclaimed property act,0.026416878423820917
anyactnot,0.05387046263514983
emergency management assistance compact,0.24393968059206284
discrenot,0.038315264779433506
smokeban,0.33412458259215433
environment_publicbenefit_fund,0.3205995050055344
pubbenefits_yearadopted,0.34017089658705596
idtheft,0.35874578808959606
ultrasound,0.15936796729358857
dev_s9,0.08635468493972433
elecdereg,0.556092764894638
dev_s8,0.18144302614549349
abortion_partial_birt,0.10600301797834173
dev_s2,0.08705815204291388
restruct,0.4071852649095516
"ucc article 5, letters of credit (1995)",0.5093037046510204
certification of questions of law (1995),0.03680777171627808
continsurance,0.11775842655079995
gdl,0.32717686560580034
optinnot,0.018534440252376622
adoption act (1994),0.05787037037037037
methpre,0.20720987924257453
drugs_medical_marijuan,0.09500764311870125
banfaninc,0.12081033220908775
rps_yearadopted,0.2030761506322454
pre20wk,0.11591774467468134
limited liability company (1995)(1996),0.07069682393108806
principal and income act (2000),0.21574328596858008
emcont_avail,0.09903685857050366
dev_s5,0.054951656186938064
interreg,0.08550623757606766
postdna,0.24465250438652864
planned community act,0.0581421502474134
dnaforexon,0.28150599436189
terrorfund,0.12557793655314203
contr_eq,0.11380341170038795
cyberstalk,0.21734741274699623
harass,0.16193773938822548
stalkdef,0.18374668739302313
regulation_physician_suicid,0.029575503169849027
w_ec_access_expan,0.0968907428089867
kinship,0.10023359012866513
sundayban,0.17615817787870278
nurse licensure compact,0.05569774703204448
civinjaut,0.16904642789233063
hostliability,0.06230623270975144
giexorder,0.03030315902551452
gayrights_hatecrime,0.09124110984652241
antibully,0.15599796269649227
antishack,0.017343831836400776
wmd,0.25701932484795953
autism,0.08692049013391971
ccreceipt,0.1207089846693273
racialpro,0.13510958359100855
amber,0.5260921657275587
electronic transactions act,0.2780559340837361
naticurric,0.06316832942512624
national crime prevention and privacy compact,0.0945754301477516
computer information transactions act,0.08558739735210323
gayrights_civilunion,0.08602748718055926
dnafelon,0.24769283960026858
environment_electronic_wast,0.13921307166025218
licenseplate,0.0844748012503498
w_educ_biblepubli,0.022903453136011276
interstate compact on licensure of participants in horse racing with pari-mutuel wagering,0.06246770823327985
disclaimer of property interests act,0.03459331785478021
inst_tu_und,0.10201516985095099
parentage act,0.13559294554714962
medicalrest,0.1550524275375622
athlete agents act,0.16534730047944063
arbitration act (2000),0.12404248875518227
money services act,0.019493548714690095
credfreez,0.0865552511029008
undoctuit,0.3413694797750258
immigration_instate_tuition_ill,0.22751508969962275
interstate enforcement of domestic violence protection orders act,0.0598601728986625
consumer leases act,0.2253968253968254
unsworn foreign declarations act (2008),0.05626789095691485
trust code,0.08020288466907803
interstate family support act (2001),0.20367654988553022
drugs_smoking_ban_workplace,0.21365081018827922
ewaste,0.2592040285502471
vouchers,0.16363636363636366
"ucc article 1, general provisions (2001)",0.2762538426041482
interstate insurance product regulation compact,0.2351966465224112
worksitebanstate,0.23055737448808253
mediation act,0.05262445718024705
"ucc article 3, negotiable instruments and article 4, bank deposits (2002)",0.04555478842563234
child witness testimony by alternative methods act,0.0184139106178831
limited partnership act (2001) (last amended 2013),0.0811345302397624
environment_ca_car_emissions_st,0.3508655992728507
humantraffic,0.3638780418642505
securities act,0.13115614101543357
license_plates,0.013763747113134167
"ucc article 7, documents of title (2003)",0.3142986324767309
environmental covenants act,0.10947714980978494
gayrights_marriag,0.033427450145339495
dev_s6,0.0063390757921886025
real property electronic recording act,0.1563002573146489
management of public employee retirement systems act,0.09573713323713323
salvia,0.16114809586009377
residential mortgage satisfaction act,0.01254725677876623
gap,0.1221955051446012
environment_ghg_ca,0.437958998186271
inst_tu_vet,0.109582156676578
dev_s3,0.07336529139853587
"debt-management services act, 2005",0.06567500337985556
national popular vote interstate compact,0.05289819143228364
norealid,0.11192196643097978
"registered agents act, model (2006) (last amended 2011)",0.1287370746059338
prudent management of institutional funds act,0.37258940601636037
foreign-country money judgments recognition act,0.10138033547341614
child abduction prevention,0.06791016453023703
anatomical gift act (2006),0.38953109519720713
"entity transactions act, model (2007) (last amended 2013)",0.021823165518248224
emergency volunteer health practitioners,0.1001841617637373
power of attorney,0.07452201779793322
goodsam911,0.10289520352442239
assignment of rents act,0.2431066119821954
