billname,original_ap_score,logit_ap_score
personaltaxeff_yearadopted,0.011834227733422336,0.011841070924482019
personaltax_yearadopted,0.02874442480194752,0.028755820139628865
antistalk,0.4654190188342496,0.4808837163839485
corporaterenew_yearadopted,0.013592671491888994,0.013504773077634077
pubemployees,0.0646321961620469,0.06046101213063015
indgaming,0.2936580735218902,0.2913961677367353
nonprobate transfers on death act,0.07568364720807665,0.07518706769324011
hiport,0.30927153036188293,0.3122947147861286
higrenew,0.3875306172698794,0.3875306172698794
stalking,0.3405304546519834,0.34323801142732774
termlim,0.04721703362454649,0.04692794459374805
netmeter_yearadopted,0.1178563029664724,0.1209202835031538
corporateeff_yearadopted,0.037585556384679586,0.0373344932531361
tod security registration act,0.2320392791919325,0.22817886532580947
"ucc article 6, bulk sales (1989)",0.12978249536417183,0.1298237863673361
meganslaw,0.38025107664564,0.3766579590140795
ucc article 6 (revise),0.022943610068140732,0.022357427548182127
higissue,0.243983240123841,0.24451440832844976
infanthear,0.14209106121899143,0.1448648958681994
hiprecon,0.26726893196905077,0.2677967276554186
interstate compact on industrialized/modular buildings,0.029647352810378953,0.029585682037503388
broadcom,0.11648974929727698,0.11965420200043246
interstate forest fire suppression compact,0.06118881118881119,0.050070488078618164
statutory will act (1984),0.041666666666666664,0.04055555555555556
chartersch,0.1490431057557222,0.15348418111684442
colcanscr,0.051809887240400754,0.051416608528141415
neartotalban,0.02702702702702703,0.026565026565026562
sexreginfo,0.05397937145282603,0.05274520720764798
statutory form power of attorney act,0.0370236564150281,0.0359086586078266
prudent investor act,0.12230234321881234,0.1225966205255234
gagrule,0.04655142070830393,0.04701275899289705
"ucc article 3, negotiable instruments (1990)",0.21095745380553937,0.21071059084798516
"intestacy, wills, and donative transfers act",0.04987111729800512,0.04527848958868258
bldstds_yearadopted,0.10509467751956272,0.10668715726728739
supp_research,0.3237590364215196,0.32345721581675696
corporlimits,0.34786806846478924,0.34843720114779947
regulation_bicycle_helmet,0.1386262984617487,0.1388763073669496
filmtaxcredit,0.1525653323159033,0.1527886057902536
famcap,0.13161422165397998,0.12550907632211641
simultaneous death act,0.022212670451405382,0.021698846204004228
unionlimits,0.35148871725531566,0.3514630547429977
candlim,0.06432702692537107,0.06444918100554413
famlim,0.29311740900961464,0.2932606390996812
abortion_consent_1992_201,0.07030328434670162,0.06995864486989484
indlimit,0.3366647368345378,0.33941135868887407
offwmh,0.05579223775376162,0.055811004356844864
unincorporated nonprofit association act (1992)(1996),0.020010788295106278,0.019807543187218966
timelim,0.1132786985515713,0.11689233648728044
msas,0.3543025921317566,0.35394089437073384
pubaccess,0.03380176015796417,0.033557174579880576
gilaw,0.025923457158712748,0.025975018847072887
regulation_rfr,0.023091134014156568,0.023085410112338056
pubbrefeed,0.14531992130450358,0.1457561917407057
meritaid,0.04171908072369518,0.04195314001833661
breastfeed,0.15694455723315479,0.1590510016772391
interstate family support act (1992)(1996),0.4669192403011306,0.45789954538407335
threestrikes,0.16813736322681677,0.1637684880452683
partnership act (1997) (last amended 2013),0.07464999671860595,0.07442120662743082
meritstateadmin,0.04174084980293588,0.0423968117717223
multiple-person accounts,0.023714694164741743,0.024799138895930824
writreq,0.018927831186273492,0.018928755258267062
gay_employment_discrim_genderi,0.02828573242908583,0.028396470090024314
manaccess,0.03312570352772645,0.03308214256366617
w_gayright_publi_accom_genderi,0.023805851547362977,0.024136019105527085
idas,0.20991345494323843,0.22137557597044424
national guard mutual assistance counter-drug activities compact,0.10115501501854289,0.1039293932449652
gaymarban,0.07373918623584197,0.07177133418591178
indorgris,0.07958638077989431,0.07993920803722669
