billname,rf_ap_score
"discovery of electronically stored information, rules relating to",0.0244425763728511
interstate family support act amendments (2008),0.1219635722191173
common interest ownership act (2008),0.3008658008658009
probate code amendments (2008),0.2076175908543958
breastdensity,0.3600936247031994
common interest owners bill of rights,0.25
collaborative law act,0.0512924410791607
"law on notarial acts, revised",0.0960321464237285
real property transfer on death act,0.2124987721081541
insurable interest amendment to the uniform trust code,0.1332911144395418
status of convicted persons act (1964),0.0198657869856538
surplus lines insurance multi-state compliance compact,0.1875575292340455
fetalpain,0.240335384045068
admittpriv,0.3421616616096652
electronic recordation of custodial interrogations,0.0081837916155318
ucc article 9 amendments (2010),0.5250162240966686
ins_stateexch,0.1984885422040499
faithful presidential electors act,0.0302602377199151
military and overseas voters act,0.0900576382447597
health care compact,0.0717857382068493
newbornheartscreen,0.3969136470553908
securities act (1956),0.039820883079697
partition of heirs property act,0.035818591570555
debt-management services (2011),0.0247148478855795
electronic legal material act,0.3008092727242953
ucc article 4a amendments (2012),0.3912898063515533
statutory trust entity act,0.0
certificate of title for vessels act,0.0330499679546615
emergency medical services personnel licensure interstate compact,1.0
deployed parents custody and visitation act,0.4078757708436097
premarital and marital agreements act,0.8888888888888888
fetalheart,0.4539316239316239
model mandatory disposition of detainers act,0.0057685440126277
compact for a balanced budget,0.1103197877391425
powers of appointment,0.0803030303030303
collateral consequences of conviction act,0.0605994152046783
prevention of and remedies for human trafficking,0.2670365061669409
"protection of charitable assets act, model",0.0962301587301587
fiduciary access to digital assets act (2014),0.0598039215686274
arbitration act (1956),0.0436009116233704
national guard mutual assistance compact,0.0156478628863325
model state administrative procedure act (1981),0.0145678537436738
deceptive trade practices act (1964),0.0394241200121336
cogrowman,0.4031339505090798
unclaimed property act (1952)(1981),0.0511676025844143
federal lien registration act,0.0739429347158326
reciprocal enforcement of support act (1950),0.0284368819091601
testamentary additions to trusts act,0.0169109948622071
hazing,0.1062069034806223
partnership act (1914),0.0194430232123437
consumer credit code,0.0264504250897782
w_environment_endangered_specie,0.038110675026999
earlvot,0.0233019053212181
fetalhomic,0.0573851366905378
guncontrol_opencarr,0.0714930488801634
environment_state_nepa,0.038659043257028
immigration_english_languag,0.0297630491512113
education,0.0205132567824018
child custody jurisdiction and enforcement act,0.1284419237971366
minor student capacity to borrow act (1969),0.0371449559520355
education_corporal_punishment_b,0.0486515094503112
regulations_lemonla,0.1208238759736709
anatomical gift (1968),0.5032359432107526
"post-conviction procedure act, model",1.0
certification of questions of law (1967),0.0182733404677527
prescdrug,0.0270223334253514
correct,0.01636706159614
genderrights_state_era,0.0332873702797255
w_educ_mom_silentmandator,0.0137461870647938
controlled substances act,0.0751995739287892
probate code,0.0451842684262367
bottle,0.1379045774640137
adoption act (1953)(1969),0.194576606050004
statrape,0.0636970661963375
alcoholism and intoxication treatment,0.0533495974866022
requireanyid2,0.1950551086897622
regulation_boehmke_cogrowma,0.4104219047406256
anyphotoid2,0.2686209981977092
mailreg,0.1066599435752219
environment_bottlebil,0.1053370065685568
deathpen,0.0915453055139354
residential landlord and tenant act 1972,0.0313968085793126
consumer sales practices,0.0636461480905925
genderrights_era_ratificatio,0.3604704057702777
anyid2,0.2663565057851856
rico,0.0617485743421497
estate tax apportionment and probate code 3-916,0.1320169866432263
