"state","year","norrander_legality","religadhrate","initdif","dem_gov","uni_dem_leg","fem_dem","nbrspct","rescaledmedincome","rescaledpopsize","time","time2","webster","intercept","event","billnum"
"New_Jersey",1981,2.30999994277954,0.548639833927155,0,1,1,0.0309999994933605,0,2.13179993629456,0.74006187915802,7,49,0,1,0,20
"New_Mexico",1981,2.55999994277954,0.601673483848572,0,1,1,0.0140000004321337,0,2.01320004463196,0.132060691714287,7,49,0,1,0,20
"New_York",1981,2.27999997138977,0.512700259685516,0,1,0,0.0549999997019768,0.200000002980232,1.76030004024506,1.76003456115723,7,49,0,1,0,20
"North_Carolina",1981,2.69000005722046,0.545649945735931,0,1,1,0.0930000022053719,0,1.82159996032715,0.594946324825287,7,49,0,1,0,20
"North_Dakota",1981,2.95000004768372,0.741263389587402,6,0,0,0.0149999996647239,0,1.69969999790192,0.0652479976415634,7,49,0,1,0,20
"Oklahoma",1981,2.6800000667572,0.588655352592468,4,1,1,0.0399999991059303,0.16666667163372,1.91120004653931,0.303795844316483,7,49,0,1,0,20
"Oregon",1981,2.32999992370605,0.356732904911041,7,0,1,0.116999998688698,0,1.74100005626678,0.265303194522858,7,49,0,1,1,20
"Pennsylvania",1981,2.84999990463257,0.609970986843109,0,0,0,0.0149999996647239,0,1.8206000328064,1.18684637546539,7,49,0,1,0,20
"Rhode_Island",1981,2.34999990463257,0.756675064563751,0,1,1,0.0799999982118607,0.5,1.87730002403259,0.0953546389937401,7,49,0,1,0,20
"South_Carolina",1981,2.79999995231628,0.52466481924057,0,1,1,0.0430000014603138,0,1.77820003032684,0.315577030181885,7,49,0,1,0,20
"South_Dakota",1981,2.89000010490417,0.670404136180878,5,0,0,0.0359999984502792,0,1.65900003910065,0.0690600350499153,7,49,0,1,0,20
"Tennessee",1981,2.84999990463257,0.549785733222961,0,0,1,0.025000000372529,0.125,1.46060001850128,0.461961835622787,7,49,0,1,0,20
"Texas",1981,2.6800000667572,0.556358814239502,0,0,1,0.0329999998211861,0.25,1.76950001716614,1.45038509368896,7,49,0,1,0,20
"Utah",1981,2.73000001907349,0.756482183933258,4,1,0,0.0370000004768372,0,1.92480003833771,0.148718506097794,7,49,0,1,0,20
"Vermont",1981,2.29999995231628,0.472717851400375,0,0,0,0.116999998688698,0.333333343267441,1.96340000629425,0.0517075806856155,7,49,0,1,0,20
"Virginia",1981,2.73000001907349,0.42379155755043,0,0,1,0.0399999991059303,0,1.94840002059937,0.543013572692871,7,49,0,1,0,20
"West_Virginia",1981,3.14000010490417,0.398697584867477,0,1,1,0.0890000015497208,0,1.77569997310638,0.193434774875641,7,49,0,1,0,20
"Wisconsin",1981,2.82999992370605,0.645674109458923,0,0,1,0.0560000017285347,0,1.70360004901886,0.472457706928253,7,49,0,1,0,20
"Wyoming",1981,2.76999998092651,0.445387601852417,1,1,0,0.0820000022649765,0,2.01340007781982,0.0469258800148964,7,49,0,1,0,20
"Alabama",1982,2.79999995231628,0.601148903369904,0,1,1,0.0240000002086163,0,1.58539998531342,0.392091751098633,8,64,0,1,0,20
"Arizona",1982,2.27999997138977,0.403339892625809,4,1,0,0.0790000036358833,0,1.94340002536774,0.290744543075562,8,64,0,1,0,20
"Arkansas",1982,2.9300000667572,0.553160190582275,5,0,1,0.028999999165535,0.28571429848671,1.42900002002716,0.229814499616623,8,64,0,1,0,20
"California",1982,2.24000000953674,0.360324621200562,6,1,1,0.0560000017285347,0,2.24690008163452,2.48872041702271,8,64,0,1,0,20
"Colorado",1982,2.30999994277954,0.37137559056282,6,1,0,0.0979999974370003,0,2.27029991149902,0.297087877988815,8,64,0,1,0,20
"Connecticut",1982,2.35999989509583,0.617098152637482,0,1,1,0.133000001311302,0.666666686534882,2.60010004043579,0.314302325248718,8,64,0,1,0,20
"Delaware",1982,2.39000010490417,0.414396554231644,0,0,0,0.0780000016093254,0.333333343267441,2.26300001144409,0.0610033608973026,8,64,0,1,0,20
"Florida",1982,2.5699999332428,0.395818144083023,3,1,1,0.0979999974370003,0,1.83550000190735,1.03787851333618,8,64,0,1,0,20
"Georgia",1982,2.82999992370605,0.491533577442169,0,1,1,0.0540000014007092,0,1.78600001335144,0.566684305667877,8,64,0,1,0,20
"Hawaii",1982,2.47000002861023,0.336140602827072,0,1,1,0.114000000059605,0,2.333899974823,0.100964583456516,8,64,0,1,0,20
"Idaho",1982,2.60999989509583,0.501253604888916,5,1,0,0.0540000014007092,0,2.08439993858337,0.0957349836826324,8,64,0,1,0,20
"Illinois",1982,2.53999996185303,0.560720145702362,3,0,0,0.0520000010728836,0.16666667163372,2.03649997711182,1.1421320438385,8,64,0,1,0,20
"Indiana",1982,2.73000001907349,0.453308314085007,0,0,0,0.0430000014603138,0,2.13899993896484,0.550163209438324,8,64,0,1,0,20
"Iowa",1982,2.66000008583069,0.610805571079254,0,0,0,0.0430000014603138,0.16666667163372,1.89509999752045,0.28865510225296,8,64,0,1,1,20
"Kansas",1982,2.82999992370605,0.536879599094391,0,1,0,0.063000001013279,0.25,2.14969992637634,0.238591477274895,8,64,0,1,1,20
"Kentucky",1982,3.26999998092651,0.554212689399719,0,1,1,0.0610000006854534,0.125,1.71529996395111,0.366585910320282,8,64,0,1,0,20
"Louisiana",1982,3.01999998092651,0.583558678627014,0,1,1,0.0140000004321337,0,1.32219994068146,0.40350541472435,2,1,0,1,0,20
"Maine",1982,2.40000009536743,0.410199522972107,3,0,0,0.136999994516373,0.5,1.6311000585556,0.108559884130955,6,0,0,1,0,20
"Maryland",1982,2.58999991416931,0.418427914381027,0,1,1,0.120999999344349,0.200000002980232,2.33509993553162,0.432909339666367,8,64,0,1,0,20
"Massachusetts",1982,2,0.637570023536682,1,0,1,0.0799999982118607,0,1,0.570830225944519,0,0,0,1,0,20
"Michigan",1982,2.70000004768372,0.442265003919601,5,0,1,0.0520000010728836,0,2.08089995384216,0.926625907421112,8,64,0,1,0,20
"Minnesota",1982,2.71000003814697,0.650449633598328,0,0,1,0.0780000016093254,0,2.23510003089905,0.413661986589432,8,64,0,1,0,20
"Mississippi",1982,3.15000009536743,0.580696642398834,2,1,1,0.00999999977648258,0.25,1.63619995117188,0.253064334392548,8,64,0,1,0,20
"Missouri",1982,2.77999997138977,0.523595988750458,4,0,1,0.0610000006854534,0,0.934599995613098,0.484511941671371,3,16,0,1,0,20
"Montana",1982,2.50999999046326,0.439605474472046,4,1,0,0.0700000002980232,0,1.79540002346039,0.0789413005113602,8,64,0,1,0,20
"Nebraska",1982,2.72000002861023,0.63323301076889,3,0,0,0.0560000017285347,0.16666667163372,1.90059995651245,0.0954876989126205,8,64,0,1,0,20
"Nevada",1982,2.24000000953674,0.297924160957336,3,0,1,0.0560000017285347,0,2.18359994888306,0.149636656045914,8,64,0,1,0,20
"New_Hampshire",1982,2.23000001907349,0.43353408575058,0,1,0,0.0640000030398369,0.666666686534882,2.28329992294312,0.0958650410175323,8,64,0,1,0,20
"New_Jersey",1982,2.30999994277954,0.555736601352692,0,0,1,0.034000001847744,0.25,2.34710001945496,0.743723750114441,8,64,0,1,0,20
"New_Mexico",1982,2.55999994277954,0.600039660930634,0,1,1,0.0199999995529652,0,2.0297999382019,0.134221374988556,8,64,0,1,0,20
"New_York",1982,2.27999997138977,0.528694450855255,0,1,0,0.0689999982714653,0.400000005960464,1.90779995918274,1.76436924934387,8,64,0,1,0,20
"North_Carolina",1982,2.69000005722046,0.551701247692108,0,1,1,0.104999996721745,0,1.89999997615814,0.60249274969101,8,64,0,1,0,20
"North_Dakota",1982,2.95000004768372,0.743195652961731,6,0,0,0.0329999998211861,0,1.82550001144409,0.0650959983468056,8,64,0,1,0,20
"Oklahoma",1982,2.6800000667572,0.597508132457733,4,1,1,0.0430000014603138,0.16666667163372,1.97899997234344,0.304991692304611,8,64,0,1,0,20
"Pennsylvania",1982,2.84999990463257,0.610375344753265,0,0,0,0.0149999996647239,0,1.89199995994568,1.18699288368225,8,64,0,1,0,20
"Rhode_Island",1982,2.34999990463257,0.757856249809265,0,1,1,0.0850000008940697,0.5,1.97189998626709,0.0959092825651169,8,64,0,1,0,20
"South_Carolina",1982,2.79999995231628,0.53513240814209,0,1,1,0.0509999990463257,0,1.86240005493164,0.319254040718079,8,64,0,1,0,20
"South_Dakota",1982,2.89000010490417,0.671586394309998,5,0,0,0.0320000015199184,0,1.75300002098083,0.0691200792789459,8,64,0,1,0,20
"Tennessee",1982,2.84999990463257,0.556700229644775,0,0,1,0.0280000008642673,0.125,1.53320002555847,0.464823693037033,8,64,0,1,0,20
"Texas",1982,2.6800000667572,0.565816044807434,0,0,1,0.0320000015199184,0.25,1.94710004329681,1.47797024250031,8,64,0,1,0,20
"Utah",1982,2.73000001907349,0.761047720909119,4,1,0,0.028999999165535,0,2.05170011520386,0.151336997747421,8,64,0,1,0,20
"Vermont",1982,2.29999995231628,0.466939032077789,0,0,0,0.109999999403954,0.333333343267441,2.06150007247925,0.0522151589393616,8,64,0,1,0,20
"Virginia",1982,2.73000001907349,0.429967820644379,0,1,1,0.0509999990463257,0,2.18309998512268,0.551427125930786,8,64,0,1,0,20
"West_Virginia",1982,3.14000010490417,0.40036678314209,0,1,1,0.0989999994635582,0.200000002980232,1.74530005455017,0.191869542002678,8,64,0,1,0,20
"Wisconsin",1982,2.82999992370605,0.645713031291962,0,0,1,0.0579999983310699,0,1.82710003852844,0.474315404891968,8,64,0,1,0,20
"Wyoming",1982,2.76999998092651,0.448903411626816,1,1,0,0.100000001490116,0,2.13619995117188,0.0467517599463463,8,64,0,1,0,20
"Alabama",1983,2.79999995231628,0.614713311195374,0,1,1,0.0240000002086163,0,1.65820002555847,0.393587589263916,9,81,0,1,0,20
"Arizona",1983,2.27999997138977,0.406719416379929,4,1,0,0.0750000029802322,0,2.04299998283386,0.300216853618622,9,81,0,1,0,20
"Arkansas",1983,2.9300000667572,0.55979984998703,5,1,1,0.034000001847744,0.28571429848671,1.49820005893707,0.2304717451334,9,81,0,1,0,20
"California",1983,2.24000000953674,0.368145793676376,6,0,1,0.063000001013279,0,2.38779997825623,2.54963064193726,9,81,0,1,0,20
"Colorado",1983,2.30999994277954,0.374066472053528,6,1,0,0.0979999974370003,0,2.42519998550415,0.301131814718246,9,81,0,1,0,20
"Connecticut",1983,2.35999989509583,0.617827236652374,0,1,1,0.136000007390976,0.666666686534882,2.79760003089905,0.316103488206863,9,81,0,1,0,20
"Delaware",1983,2.39000010490417,0.420083224773407,0,0,1,0.0839999988675117,0.333333343267441,2.42239999771118,0.0617050379514694,9,81,0,1,0,20
"Florida",1983,2.5699999332428,0.401148319244385,3,1,1,0.133000001311302,0,1.90699994564056,1.06986784934998,9,81,0,1,0,20
"Georgia",1983,2.82999992370605,0.502078473567963,0,1,1,0.0570000000298023,0,1.89219999313354,0.576826512813568,9,81,0,1,0,20
"Hawaii",1983,2.47000002861023,0.338205397129059,0,1,1,0.148000001907349,0,2.61080002784729,0.102196872234344,9,81,0,1,0,20
"Idaho",1983,2.60999989509583,0.501599967479706,5,1,0,0.0790000036358833,0,2.09680008888245,0.0963524654507637,9,81,0,1,0,20
"Illinois",1983,2.53999996185303,0.565521478652954,3,0,1,0.0590000003576279,0.16666667163372,2.20589995384216,1.14224815368652,9,81,0,1,0,20
"Indiana",1983,2.73000001907349,0.456050544977188,0,0,0,0.0500000007450581,0,2.20799994468689,0.550694763660431,9,81,0,1,0,20
"Kentucky",1983,3.26999998092651,0.560498118400574,0,1,1,0.0610000006854534,0.125,1.74160003662109,0.366828888654709,9,81,0,1,0,20
"Louisiana",1983,3.01999998092651,0.583558678627014,0,1,1,0.0140000004321337,0,1.32219994068146,0.386710792779922,4,9,0,1,0,20
"Maine",1983,2.40000009536743,0.42546346783638,3,1,0,0.164000004529953,0.5,1.08829998970032,0.104619778692722,4,16,0,1,0,20
"Maryland",1983,2.58999991416931,0.426556020975113,0,1,1,0.135000005364418,0.200000002980232,2.65300011634827,0.43856406211853,9,81,0,1,0,20
"Massachusetts",1983,2,0.637570023536682,3,0,1,0.0799999982118607,0,1,0.570830225944519,0,0,0,1,0,20
"Michigan",1983,2.70000004768372,0.450005024671555,5,1,1,0.0590000003576279,0,2.18869996070862,0.926988899707794,9,81,0,1,0,20
"Minnesota",1983,2.71000003814697,0.650210678577423,0,1,1,0.0860000029206276,0.200000002980232,2.33929991722107,0.416642963886261,9,81,0,1,0,20
"Mississippi",1983,3.15000009536743,0.595842659473419,2,1,1,0.0120000001043081,0.25,1.58959996700287,0.253596484661102,9,81,0,1,0,20
"Missouri",1983,2.77999997138977,0.533371329307556,4,1,1,0.0610000006854534,0,1.07210004329681,0.486907988786697,5,1,0,1,0,20
"Montana",1983,2.50999999046326,0.438037037849426,4,1,0,0.0799999982118607,0.25,1.87450003623962,0.0790619477629662,9,81,0,1,0,20
"Nebraska",1983,2.72000002861023,0.633794248104095,3,1,0,0.0610000006854534,0.16666667163372,2.02020001411438,0.103281550109386,9,81,0,1,0,20
"Nevada",1983,2.24000000953674,0.300863087177277,3,1,1,0.0489999987185001,0,2.38059997558594,0.145954981446266,9,81,0,1,0,20
"New_Hampshire",1983,2.23000001907349,0.428742051124573,0,0,0,0.0640000030398369,0.666666686534882,2.43729996681213,0.0977475643157959,9,81,0,1,0,20
"New_Jersey",1983,2.30999994277954,0.562833368778229,0,0,1,0.0379999987781048,0.25,2.56229996681213,0.747385621070862,9,81,0,1,0,20
"New_Mexico",1983,2.55999994277954,0.598405778408051,0,1,1,0.0260000005364418,0,2.04640007019043,0.136382073163986,9,81,0,1,0,20
"New_York",1983,2.27999997138977,0.544688701629639,0,1,0,0.0829999968409538,0.400000005960464,2.05520009994507,1.76870357990265,9,81,0,1,0,20
"North_Carolina",1983,2.69000005722046,0.55775260925293,0,1,1,0.116999998688698,0,1.97850000858307,0.610039114952087,9,81,0,1,0,20
"North_Dakota",1983,2.95000004768372,0.74512791633606,6,0,0,0.0520000010728836,0,1.95130002498627,0.0649439990520477,9,81,0,1,0,20
"Oklahoma",1983,2.6800000667572,0.606360912322998,4,1,1,0.0450000017881393,0.16666667163372,2.04690003395081,0.30618754029274,9,81,0,1,0,20
"Pennsylvania",1983,2.84999990463257,0.609970986843109,0,1,1,0.0149999996647239,0,1.50829994678497,1.18596911430359,1,16,0,1,0,20
"Rhode_Island",1983,2.34999990463257,0.755493819713593,0,1,1,0.0799999982118607,0.5,1.271399974823,0.0948000028729439,4,16,0,1,0,20
"South_Carolina",1983,2.79999995231628,0.545600056648254,0,1,1,0.0579999983310699,0,1.94669997692108,0.322931110858917,9,81,0,1,0,20
"South_Dakota",1983,2.89000010490417,0.672768712043762,5,0,0,0.028999999165535,0.16666667163372,1.84689998626709,0.0691801160573959,9,81,0,1,0,20
"Tennessee",1983,2.84999990463257,0.563614726066589,0,0,1,0.0299999993294477,0.125,1.60570001602173,0.467685550451279,9,81,0,1,0,20
"Texas",1983,2.6800000667572,0.575273215770721,0,1,1,0.0299999993294477,0.25,2.12479996681213,1.50555527210236,9,81,0,1,0,20
"Utah",1983,2.73000001907349,0.765613257884979,4,1,0,0.0199999995529652,0,2.17869997024536,0.15395550429821,9,81,0,1,0,20
"Vermont",1983,2.29999995231628,0.461160182952881,0,0,0,0.103000000119209,0.333333343267441,2.1596999168396,0.0527227371931076,9,81,0,1,0,20
"Virginia",1983,2.73000001907349,0.436144083738327,0,1,1,0.063000001013279,0,2.417799949646,0.559840738773346,9,81,0,1,0,20
"West_Virginia",1983,3.14000010490417,0.402035981416702,0,1,1,0.108999997377396,0.200000002980232,1.71480000019073,0.190304309129715,9,81,0,1,0,20
"Wisconsin",1983,2.82999992370605,0.645751893520355,0,1,1,0.0610000006854534,0,1.95070004463196,0.476173043251038,9,81,0,1,0,20
"Wyoming",1983,2.76999998092651,0.452419221401215,1,1,0,0.119000002741814,0,2.25889992713928,0.0465776398777962,9,81,0,1,0,20
"Alabama",1984,2.79999995231628,0.628277778625488,0,1,1,0.0480000004172325,0,1.73099994659424,0.395083487033844,10,100,0,1,0,20
"Arizona",1984,2.27999997138977,0.410098969936371,4,1,0,0.0750000029802322,0,2.14249992370605,0.30968913435936,10,100,0,1,0,20
"Arkansas",1984,2.9300000667572,0.566439509391785,5,1,1,0.034000001847744,0.28571429848671,1.5673999786377,0.231129005551338,10,100,0,1,0,20
"California",1984,2.24000000953674,0.375966966152191,6,0,1,0.063000001013279,0,2.52870011329651,2.61054086685181,10,100,0,1,0,20
"Colorado",1984,2.30999994277954,0.376757353544235,6,1,0,0.0979999974370003,0,2.58010005950928,0.305175751447678,10,100,0,1,0,20
"Connecticut",1984,2.35999989509583,0.618556320667267,0,1,1,0.122000001370907,0.666666686534882,2.9951000213623,0.317904651165009,10,100,0,1,0,20
"Delaware",1984,2.39000010490417,0.425769925117493,0,0,1,0.0839999988675117,0.333333343267441,2.58189988136292,0.0624067187309265,10,100,0,1,0,20
"Florida",1984,2.5699999332428,0.406478494405746,3,1,1,0.133000001311302,0,1.97850000858307,1.10185694694519,10,100,0,1,0,20
"Georgia",1984,2.82999992370605,0.512623369693756,0,1,1,0.0570000000298023,0,1.99839997291565,0.586968660354614,10,100,0,1,0,20
"Hawaii",1984,2.47000002861023,0.340270221233368,0,1,1,0.148000001907349,0,2.88770008087158,0.103429161012173,10,100,0,1,0,20
"Idaho",1984,2.60999989509583,0.501946330070496,5,1,0,0.0790000036358833,0,2.10920000076294,0.0969699621200562,10,100,0,1,0,20
"Illinois",1984,2.53999996185303,0.570322751998901,3,0,1,0.0640000030398369,0.16666667163372,2.37520003318787,1.14236414432526,10,100,0,1,0,20
"Indiana",1984,2.73000001907349,0.458792805671692,0,0,0,0.0500000007450581,0,2.27699995040894,0.551226377487183,10,100,0,1,0,20
"Kentucky",1984,3.26999998092651,0.566783547401428,0,1,1,0.0610000006854534,0.125,1.76800000667572,0.367071837186813,10,100,0,1,0,20
"Louisiana",1984,3.01999998092651,0.588472008705139,0,1,1,0.0140000004321337,0,1.32219994068146,0.392309010028839,0,4,0,1,0,20
"Maine",1984,2.40000009536743,0.414015501737595,3,1,0,0.18299999833107,0.5,1.6311000585556,0.104619778692722,3,25,0,1,0,20
"Maryland",1984,2.58999991416931,0.434684127569199,0,1,1,0.123999997973442,0.200000002980232,2.97079992294312,0.444218695163727,10,100,0,1,0,20
"Massachusetts",1984,1,0.637570023536682,3,0,1,0.0799999982118607,0,1,0.570830225944519,0,0,0,1,0,20
"Michigan",1984,2.70000004768372,0.457745045423508,5,1,0,0.0590000003576279,0,2.29649996757507,0.927351891994476,10,100,0,1,0,20
"Minnesota",1984,2.71000003814697,0.649971723556519,0,1,1,0.0860000029206276,0.200000002980232,2.44359993934631,0.41962394118309,10,100,0,1,0,20
"Mississippi",1984,3.15000009536743,0.610988616943359,2,1,1,0.0199999995529652,0.25,1.54299998283386,0.254128664731979,10,100,0,1,0,20
"Missouri",1984,2.77999997138977,0.523595988750458,4,0,1,0.0610000006854534,0,1.20959997177124,0.48211595416069,0,16,0,1,0,20
"Montana",1984,2.50999999046326,0.436468571424484,4,1,0,0.0799999982118607,0.25,1.95360004901886,0.0791826024651527,10,100,0,1,0,20
"Nebraska",1984,2.72000002861023,0.634355425834656,3,1,0,0.0610000006854534,0.16666667163372,2.13969993591309,0.111075401306152,10,100,0,1,0,20
"Nevada",1984,2.24000000953674,0.303802043199539,3,1,1,0.0489999987185001,0,2.57760000228882,0.14227332174778,10,100,0,1,0,20
"New_Hampshire",1984,2.23000001907349,0.423950016498566,0,0,0,0.0640000030398369,0.666666686534882,2.5913999080658,0.0996300801634789,10,100,0,1,1,20
"New_Jersey",1984,2.30999994277954,0.569930076599121,0,0,1,0.0560000017285347,0.25,2.77760004997253,0.751047492027283,10,100,0,1,0,20
"New_Mexico",1984,2.55999994277954,0.596771895885468,0,1,1,0.0260000005364418,0,2.06299996376038,0.138542756438255,10,100,0,1,0,20
"New_York",1984,2.27999997138977,0.560682952404022,0,1,0,0.0860000029206276,0.400000005960464,2.20269989967346,1.77303814888,10,100,0,1,0,20
"North_Carolina",1984,2.69000005722046,0.563803911209106,0,1,1,0.112999998033047,0,2.05690002441406,0.617585480213165,10,100,0,1,0,20
"North_Dakota",1984,2.95000004768372,0.739331126213074,6,1,0,0.0520000010728836,0,1.44809997081757,0.0652479976415634,2,81,0,1,0,20
"Oklahoma",1984,2.6800000667572,0.615213692188263,4,1,1,0.0450000017881393,0.16666667163372,2.11479997634888,0.307383388280869,10,100,0,1,0,20
"Pennsylvania",1984,2.84999990463257,0.609970986843109,0,1,1,0.0149999996647239,0,1.74930000305176,1.18596911430359,8,9,0,1,0,20
"Rhode_Island",1984,2.34999990463257,0.754974603652954,0,1,1,0.0670000016689301,0.5,1.521399974823,0.094817228615284,6,9,0,1,0,20
"South_Carolina",1984,2.79999995231628,0.556067705154419,0,1,1,0.0579999983310699,0,2.03090000152588,0.326608121395111,10,100,0,1,0,20
"South_Dakota",1984,2.89000010490417,0.673951029777527,5,0,0,0.028999999165535,0.16666667163372,1.94089996814728,0.0692401602864265,10,100,0,1,0,20
"Tennessee",1984,2.84999990463257,0.570529222488403,0,0,1,0.0299999993294477,0.125,1.67820000648499,0.470547407865524,10,100,0,1,0,20
"Texas",1984,2.6800000667572,0.584730446338654,0,1,1,0.0299999993294477,0.25,2.3024001121521,1.5331404209137,10,100,0,1,0,20
"Utah",1984,2.73000001907349,0.77017879486084,4,1,0,0.0199999995529652,0,2.30570006370544,0.156573995947838,10,100,0,1,0,20
"Vermont",1984,2.29999995231628,0.455381363630295,0,0,0,0.100000001490116,0.333333343267441,2.25780010223389,0.0532303191721439,10,100,0,1,0,20
"Virginia",1984,2.73000001907349,0.442320346832275,0,1,1,0.0450000017881393,0,2.65249991416931,0.568254292011261,10,100,0,1,0,20
"West_Virginia",1984,3.14000010490417,0.403705179691315,0,1,1,0.0640000030398369,0.200000002980232,1.6842999458313,0.188739076256752,10,100,0,1,0,20
"Wisconsin",1984,2.82999992370605,0.645790815353394,0,1,1,0.0610000006854534,0,2.07430005073547,0.478030741214752,10,100,0,1,0,20
"Wyoming",1984,2.76999998092651,0.455935001373291,1,1,0,0.119000002741814,0,2.38159990310669,0.0464035198092461,10,100,0,1,0,20
"Alabama",1985,2.79999995231628,0.641842186450958,0,1,1,0.0480000004172325,0,1.83329999446869,0.39657935500145,11,121,0,1,1,20
"Arizona",1985,2.27999997138977,0.413478523492813,4,1,0,0.0579999983310699,0,2.38770008087158,0.319161385297775,11,121,0,1,0,20
"Arkansas",1985,2.9300000667572,0.573079228401184,5,1,1,0.0540000014007092,0.28571429848671,1.7451000213623,0.231786251068115,11,121,0,1,0,20
"California",1985,2.24000000953674,0.383788138628006,6,0,1,0.0689999982714653,0,2.69810009002686,2.67145109176636,11,121,0,1,0,20
"Colorado",1985,2.30999994277954,0.379448235034943,6,1,0,0.0750000029802322,0,2.81820011138916,0.309219688177109,11,121,0,1,0,20
"Connecticut",1985,2.35999989509583,0.619285404682159,0,1,0,0.068000003695488,0.666666686534882,3.10899996757507,0.319705814123154,11,121,0,1,0,20
"Delaware",1985,2.39000010490417,0.431456595659256,0,0,0,0.0839999988675117,0.333333343267441,2.29800009727478,0.0631083995103836,11,121,0,1,0,20
"Florida",1985,2.5699999332428,0.411808639764786,3,1,1,0.133000001311302,0,2.13429999351501,1.13384628295898,11,121,0,1,0,20
"Georgia",1985,2.82999992370605,0.52316826581955,0,1,1,0.0649999976158142,0.200000002980232,2.10489988327026,0.59711080789566,11,121,0,1,0,20
"Hawaii",1985,2.47000002861023,0.342335015535355,0,1,1,0.119000002741814,0,2.89610004425049,0.104661449790001,11,121,0,1,0,20
"Idaho",1985,2.60999989509583,0.502292633056641,5,1,0,0.0829999968409538,0,2.07610011100769,0.097587451338768,11,121,0,1,0,20
"Illinois",1985,2.53999996185303,0.575124025344849,3,0,1,0.068000003695488,0.16666667163372,2.48699998855591,1.14248013496399,11,121,0,1,0,20
"Indiana",1985,2.73000001907349,0.461535036563873,0,0,0,0.0649999976158142,0.25,2.26749992370605,0.55175793170929,11,121,0,1,0,20
"Kentucky",1985,3.26999998092651,0.573068976402283,0,1,1,0.0509999990463257,0.25,1.7360999584198,0.367314785718918,11,121,0,1,0,20
"Louisiana",1985,3.01999998092651,0.588472008705139,0,1,1,0.0140000004321337,0,1.09940004348755,0.392309010028839,2,9,0,1,0,20
"Maine",1985,2.40000009536743,0.429279446601868,3,1,0,0.12899999320507,0.5,1.6311000585556,0.109873265028,4,25,0,1,0,20
"Maryland",1985,2.58999991416931,0.442812234163284,0,1,1,0.135000005364418,0.200000002980232,3.01360011100769,0.449873387813568,11,121,0,1,0,20
