"state","year","std_score","initiative","init_sigs","std_population","std_citideology","unified","std_income","std_legp_squire","duration","durationsq","durationcb","year_1993","year_1994","year_1995","year_1996","year_1997","year_1998","year_1999","year_2000","year_2001","year_2002","year_2003","year_2004","year_2005","year_2006","year_2007","year_2008","year_2009","year_2010","year_2011","event","billnum","year_2012","year_2013","year_","year_1991","year_1992"
"PA",1992,-0.488436698913574,0,0,1.34547805786133,0.606809914112091,0,0.337349325418472,0.715078711509705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"RI",1992,-0.488436698913574,0,0,-0.729915916919708,1.00546157360077,1,0.307134389877319,-0.681015610694885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"SC",1992,-0.488436698913574,0,0,-0.239524617791176,0.0377421267330647,0,-0.475656747817993,-0.500344514846802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"SD",1992,-0.488436698913574,1,7.5,-0.786287128925323,0.358255296945572,1,-0.272955447435379,-1.07520699501038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"TN",1992,-0.488436698913574,0,0,0.0292395614087582,0.0597070604562759,1,-0.18531160056591,-0.648166358470917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"TX",1992,-0.488436698913574,0,0,2.41925168037415,-0.331077039241791,1,-0.14208996295929,0.15664105117321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"UT",1992,-0.488436698913574,1,10,-0.574928402900696,-0.828939497470856,1,-0.659948587417603,-1.05878233909607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"VT",1992,-0.488436698913574,0,0,-0.812622427940369,2.02308416366577,0,-0.0358370430767536,-0.648166358470917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"abortion_consent_1992_201",0,0,0,0,0
"VA",1992,-0.488436698913574,0,0,0.285834968090057,-0.328752845525742,1,0.568264901638031,-0.377159714698792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
"WA",1992,-0.488436698913574,1,8,0.0501150339841843,1.079221367836,0,0.510035634040833,0.0170315690338612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"abortion_consent_1992_201",0,0,0,0,0
