fips,policy_num,state,abbrev,stateno1,year_adopted,state_pol_id,year,adopt_policy,fem_dem,religadhrate,norrander_legality,initdif,uni_dem_leg,time,time2,nbrspct,webster,state_policy,dem_gov,rescaledmedincome,rescaledpopsize,policy_name
40,2,Oklahoma,OK,36,2011.0,1507,1974,0.0,0.04,0.5625651,2.68,4,1,1,1,0.16666667,0,1297,1,1.3517,0.27459517,Ban 20 week to viability
42,2,Pennsylvania,PA,38,1989.0,1593,1974,0.0,0.036,0.5990262,2.85,0,0,1,1,0.16666667,0,1371,1,1.2538,1.1823145,Ban 20 week to viability
45,2,South_Carolina,SC,40,1974.0,1679,1974,1.0,0.041,0.5199373,2.8,0,1,1,1,0.5,0,1445,1,1.2357,0.28019094,Ban 20 week to viability
49,2,Utah,UT,44,1990.0,1851,1974,0.0,0.077,0.8022419,2.73,4,0,1,1,0.0,0,1593,1,1.2123,0.12199637,Ban 20 week to viability
1,2,Alabama,AL,1,1975.0,2,1975,1.0,0.007,0.525935,2.8,0,1,2,4,0.0,0,2,1,1.0769,0.36675826,Ban 20 week to viability
4,2,Arizona,AZ,3,2012.0,88,1975,0.0,0.2,0.43536392,2.28,4,0,2,4,0.0,0,76,1,1.3148,0.2245241,Ban 20 week to viability
5,2,Arkansas,AR,4,2013.0,131,1975,0.0,0.022,0.498827,2.93,5,1,2,4,0.14285715,0,113,1,0.9471,0.21041475,Ban 20 week to viability
6,2,California,CA,5,1987.0,174,1975,0.0,0.025,0.34005377,2.24,6,1,2,4,0.0,0,150,1,1.4667,2.1811068,Ban 20 week to viability
13,2,Georgia,GA,10,2012.0,389,1975,0.0,0.042,0.46597216,2.83,0,1,2,4,0.6,0,335,1,1.1672,0.50267875,Ban 20 week to viability
16,2,Idaho,ID,12,2011.0,475,1975,0.0,0.084,0.51815706,2.61,5,0,2,4,0.0,0,409,1,1.6554,0.0829004,Ban 20 week to viability
18,2,Indiana,IN,14,2011.0,561,1975,0.0,0.06,0.44692716,2.73,0,0,2,4,0.0,0,483,0,1.5475,0.53423345,Ban 20 week to viability
