"state","year","adagovideology","citizenideology","medianivoteshare","partydecline","squirescore","incunemp","pctpercapincome","percenturban","ugovd","percentfossilprod","renergyprice11","deregulated","geoneighborlag","ideoneighborlag","premulation1","featureyear","intercept","event","billnum"
"South Carolina",2007,10.6999998092651,47.0999984741211,100,1,0.123999997973442,-0.800000011920929,80.9800033569336,60.5,0,0,18.5799999237061,0,0,0.0440771356225014,0,11,1,0,146
"South Dakota",2007,19.7000007629395,53.7000007629395,35.2000007629395,1,0.0640000030398369,-0.200000002980232,93.6399993896484,51.9000015258789,0,8.33333301544189,19.1299991607666,0,0.0881542712450027,0.0468319542706013,0,11,1,0,146
"Tennessee",2007,72,52.0999984741211,84.129997253418,0,0.11599999666214,-0.400000005960464,86.620002746582,63.5999984741211,0,14.9857082366943,18.7299995422363,0,0,0.292011022567749,0,11,1,0,146
"Texas",2007,13.1999998092651,49.0999984741211,79.5299987792969,1,0.199000000953674,-0.5,93.9000015258789,82.5,0,93.9789733886719,19.1499996185303,1,0.0330578498542309,0,0.0403587445616722,11,1,0,146
"Utah",2007,16,40.5,70.1999969482422,0,0.0649999976158142,-0.300000011920929,82.9300003051758,88.1999969482422,0,98.9731750488281,17.8600006103516,0,0.203856751322746,0.0468319542706013,0,11,1,0,146
"Vermont",2007,76.0999984741211,82.4000015258789,49.0499992370605,0,0.143999993801117,0.200000002980232,95.7300033569336,38.2000007629395,0,0,24.7299995422363,0,0.0964187309145927,0.278236925601959,0.0403587445616722,11,1,0,146
"Virginia",2007,62.4000015258789,59.2999992370605,100,0,0.130999997258186,0.100000001490116,109.5,73,0,65.7193908691406,19.0100002288818,1,0.0413223132491112,0.333333343267441,0,11,1,0,146
"Washington",2007,94.3000030517578,65.0999984741211,67.3600006103516,0,0.196999996900558,-0.300000011920929,106.800003051758,82,1,0,19.1499996185303,0,0,0.137741044163704,0.0493273548781872,11,1,0,146
"West Virginia",2007,90.8000030517578,75,40.5299987792969,0,0.125,-0.300000011920929,74.6600036621094,46.0999984741211,1,99.3767166137695,16.2299995422363,0,0.101928375661373,0.179063364863396,0,11,1,0,146
"Wisconsin",2007,78.3000030517578,60.5,67.5699996948242,0,0.439000010490417,0.100000001490116,93.2300033569336,68.3000030517578,0,0,19.4300003051758,0,0.0771349892020226,0.278236925601959,0.0582959651947021,11,1,0,146
"Wyoming",2007,41.2000007629395,30.1000003814697,100,0,0.0540000014007092,-0.400000005960464,114.620002746582,65.0999984741211,0,99.8243255615234,16.1900005340576,0,0.0550964176654816,0.190082639455795,0,11,1,0,146
"Iowa",2008,90.8000030517578,57,67.3600006103516,1,0.170000001788139,0.200000002980232,93.5699996948242,61.0999984741211,1,0,18.5699996948242,0,0.125760644674301,0.377281934022903,0.00321543402969837,12,1,0,146
"Alabama",2008,52.2999992370605,48.4000015258789,79.2399978637695,0,0.130999997258186,1.60000002384186,82.9100036621094,55.4000015258789,0,56.7709732055664,19.9400005340576,0,0,0.188640967011452,0,12,1,0,146
"Alaska",2008,52.0999984741211,67.0999984741211,66.7399978637695,0,0.226999998092651,0.300000011920929,109.449996948242,65.5999984741211,0,99.3325042724609,24.8400001525879,0,0,0.164300203323364,0,12,1,0,146
"Arizona",2008,56,48.5,41.2200012207031,0,0.23199999332428,2.29999995231628,88.0599975585938,88.1999969482422,0,30.2526817321777,24.7600002288818,0,0.158215016126633,0.107505068182945,0.0450160764157772,12,1,0,146
"Arkansas",2008,88.4000015258789,57.5999984741211,100,0,0.105999998748302,0.100000001490116,80.25,52.5,1,64.3644943237305,20.6800003051758,0,0.054766733199358,0.535496950149536,0,12,1,0,146
"Colorado",2008,89.9000015258789,54.2000007629395,62.4099998474121,0,0.202000007033348,1,107.900001525879,84.5,1,96.7482986450195,20.5699996948242,0,0.0912778899073601,0.442190676927567,0.0321543402969837,12,1,0,146
"Connecticut",2008,87.5,90.4000015258789,77.3199996948242,0,0.189999997615814,1,139.100006103516,87.6999969482422,0,0,30.1000003814697,1,0.0973630845546722,0.490872204303741,0.0225080382078886,12,1,0,146
"Delaware",2008,87.0999984741211,81.9000015258789,78.3099975585938,0,0.148000001907349,1.39999997615814,99.0699996948242,80.0999984741211,0,0,25.2000007629395,1,0.115618661046028,0.496957391500473,0.0546623803675175,12,1,0,146
"Florida",2008,24.8999996185303,58.4000015258789,100,1,0.223000004887581,2.29999995231628,97.629997253418,89.3000030517578,0,2.50181293487549,26.0599994659424,0,0,0.0446247458457947,0,12,1,0,146
"Georgia",2008,10,48.5999984741211,100,0,0.11599999666214,1.70000004768372,87.5699996948242,71.5999984741211,0,0,21.75,0,0.0365111567080021,0.0324543602764606,0,12,1,0,146
"Hawaii",2008,74.0999984741211,84.5,75.5299987792969,0,0.224999994039536,1.39999997615814,101.400001525879,91.5,0,0,37.7799987792969,0,0,0.176470592617989,0.0546623803675175,12,1,0,146
"Idaho",2008,16.6000003814697,36.2999992370605,71.6500015258789,0,0.137999996542931,1.79999995231628,80.8600006103516,66.4000015258789,0,0,18.7600002288818,0,0.144016221165657,0.0324543602764606,0,12,1,0,146
"Illinois",2008,87.3000030517578,67.3000030517578,100,0,0.261000007390976,1.29999995231628,106.23999786377,87.8000030517578,1,40.6226615905762,20.6299991607666,1,0.0709939152002335,0.509127795696259,0.0289389062672853,12,1,0,146
"Indiana",2008,27.3999996185303,50.4000015258789,65.0800018310547,0,0.101999998092651,1.20000004768372,85.2200012207031,70.8000030517578,0,86.8633270263672,17.7099990844727,0,0.0263691674917936,0.0446247458457947,0,12,1,0,146
"Kansas",2008,54,44.7999992370605,71.7200012207031,0,0.125,0.300000011920929,98.8300018310547,71.4000015258789,0,79.2342529296875,20.8799991607666,0,0.0486815422773361,0.188640967011452,0,12,1,0,146
"Kentucky",2008,75.9000015258789,52.2999992370605,100,0,0.148000001907349,1,79.4100036621094,55.7999992370605,0,98.1426315307617,19.7199993133545,0,0.0730223134160042,0.324543625116348,0,12,1,0,146
"Louisiana",2008,46.5,43.2000007629395,78.5599975585938,0,0.12899999320507,0.600000023841858,92.4599990844727,72.5999984741211,0,88.3235321044922,20.5,0,0.0324543602764606,0.12170385569334,0,12,1,0,146
"Massachusetts",2008,97.3000030517578,91,100,0,0.384999990463257,0.800000011920929,126.75,91.4000015258789,1,0,28.3500003814697,1,0.170385390520096,0.320486813783646,0.0160771701484919,12,1,0,146
"Michigan",2008,81.8000030517578,71.9000015258789,62.3800010681152,0,0.342000007629395,1.20000004768372,86.1800003051758,74.6999969482422,0,29.5228176116943,20.2399997711182,1,0.0344827584922314,0.367139965295792,0,12,1,0,146
"Minnesota",2008,39.0999984741211,53,63.0999984741211,0,0.168999999761581,-0.300000011920929,107.870002746582,70.9000015258789,0,0,12.8800001144409,0,0.0927835032343864,0,0.0370370373129845,7,1,0,146
"Mississippi",2008,43.5,50.0999984741211,100,0,0.10700000077486,0.5,75.5699996948242,48.7999992370605,0,65.1841201782227,22.1000003814697,0,0,0.12170385569334,0,12,1,0,146
"Missouri",2008,29.7000007629395,60.5,68.8000030517578,1,0.17399999499321,0.899999976158142,92.1600036621094,69.4000015258789,0,3.23101782798767,21.0499992370605,0,0.0405679494142532,0.0223123729228973,0.0289389062672853,12,1,0,146
"Montana",2008,74.5999984741211,62.7000007629395,62.3600006103516,0,0.0759999975562096,1.10000002384186,86.2699966430664,54.0999984741211,0,89.8882827758789,21.1900005340576,1,0.0223123729228973,0.3002028465271,0.0321543402969837,12,1,0,146
"Nevada",2008,49.0999984741211,57.5,67.7300033569336,0,0.137999996542931,2.40000009536743,97.3899993896484,91.5,0,6.12745094299316,24.5,0,0.131845846772194,0.164300203323364,0.0321543402969837,12,1,0,146
"Nebraska",2008,27.2999992370605,48.2999992370605,76.9499969482422,0,0.162000000476837,0.300000011920929,98.6500015258789,69.8000030517578,0,5.80601072311401,19.3299999237061,0,0.0628803223371506,0.0446247458457947,0,12,1,0,146
"New Hampshire",2008,93.9000015258789,59.7000007629395,14.8999996185303,1,0.0270000007003546,0.400000005960464,107.940002441406,59.2999992370605,1,0,27.5300006866455,1,0.0912778899073601,0.352941185235977,0.0482315123081207,12,1,0,146
"New Jersey",2008,96.5,72.1999969482422,32.1399993896484,0,0.244000002741814,1.20000004768372,127.339996337891,94.4000015258789,1,0,24.4799995422363,1,0.11967545747757,0.320486813783646,0.0385852083563805,12,1,0,146
"New Mexico",2008,95.5,68.0999984741211,100,0,0.108999997377396,1,81.7900009155273,75,1,98.5708541870117,23.2999992370605,0,0.113590262830257,0.318458408117294,0.0353697761893272,12,1,0,146
"New York",2008,86.5999984741211,80.4000015258789,76.2099990844727,0,0.479999989271164,0.800000011920929,120.660003662109,87.5,0,5.92461585998535,26.25,1,0.18255577981472,0.498985797166824,0.0353697761893272,12,1,0,146
"North Carolina",2008,91.9000015258789,62.4000015258789,100,0,0.197999998927116,1.5,87.2900009155273,60.2000007629395,1,0,22.8600006103516,0,0.0243407711386681,0.354969561100006,0.0450160764157772,12,1,0,146
"North Dakota",2008,35.2000007629395,67.3000030517578,30.0900001525879,0,0.0509999990463257,0,99.8300018310547,55.9000015258789,0,93.9418258666992,16.3600006103516,0,0.066937118768692,0.0770791098475456,0.0289389062672853,12,1,0,146
"Ohio",2008,65.0999984741211,62.2999992370605,61.4000015258789,0,0.303999990224838,1,88.9000015258789,77.4000015258789,0,72.3135757446289,21.0900001525879,1,0.0446247458457947,0.217038542032242,0,12,1,0,146
