billname,original_ap_score,logit_ap_score
medianot,0.03219836254643171,0.04136415782566882
mediation act,0.04102942944193028,0.03935022333451047
medicalrest,0.1512958228386187,0.12256068436003531
meganslaw,0.26337129786280833,0.27382745465279623
meritaid,0.032453834138286466,0.04261298686375589
meritstateadmin,0.0322726553521539,0.04820742948851739
methpre,0.19413144037241067,0.1737580779258919
military and overseas voters act,0.08895473675550955,0.08448272870591939
money services act,0.012568839058142408,0.01380161775186265
msas,0.2181011194410874,0.23988701413954736
multiple-person accounts,0.037789114414818456,0.034016113176151934
naticurric,0.07137213025124761,0.0681166711474289
national crime prevention and privacy compact,0.12106313405816815,0.09223859664625945
national guard mutual assistance counter-drug activities compact,0.06980483047064415,0.06265064166881772
national popular vote interstate compact,0.06548336434211312,0.066674897454618
neartotalban,0.03555967841682127,0.035506174512898954
neighnot,0.04164924204994476,0.04198807495656078
netmeter_yearadopted,0.09935468989504523,0.09923349024070403
newbornheartscreen,0.4462846308928745,0.42353696880443764
nonprobate transfers on death act,0.024175421896138284,0.026074840782195668
norealid,0.1317548857644697,0.13269711625424904
nurse licensure compact,0.142557954595399,0.1319656930908205
offwmh,0.046849508918585386,0.048293422387788255
optinnot,0.013701407708112269,0.013765137456719354
paperterror,0.2832702343969085,0.26852441494087603
parentage act,0.01934304059570606,0.017796475266824523
partition of heirs property act,0.029572649572649573,0.026883814429751546
partnership act (1997) (last amended 2013),0.18599525153443763,0.18986097934096366
personaltax_yearadopted,0.027689807875544037,0.02212615000192109
personaltaxeff_yearadopted,0.016126752813874625,0.012405001074894608
planned community act,0.0625,0.1111111111111111
postdna,0.16219614758056144,0.16346169352972328
power of attorney,0.03621368572700449,0.03643371790690372
pre20wk,0.2140694351541398,0.21843302193974798
premarital and marital agreements act,0.225,0.09642024642024644
principal and income act (2000),0.19625478786163658,0.1939305919237936
principal and income amendments (2008),0.16927293622238665,0.16982719784433417
probate code amendments (2008),0.058260643405889885,0.06367423415389888
prudent investor act,0.08996469722932288,0.09330037486766694
prudent management of institutional funds act,0.4082685501265205,0.3985140418128519
pubaccess,0.06218212525551636,0.06197789507346096
pubbenefits_yearadopted,0.18311397136990887,0.1590909302603608
pubbrefeed,0.13621294223269148,0.13259751766526373
pubemployees,0.012013729977116704,0.006533691910388789
racialpro,0.15100275200121738,0.1390502797869751
real property electronic recording act,0.09070928045994298,0.09457296421762323
real property transfer on death act,0.05325958444807423,0.05172258780465202
"registered agents act, model (2006) (last amended 2011)",0.3341431848939416,0.332437768213437
regulation_bicycle_helmet,0.11865160805027553,0.10996597063985292
regulation_physician_suicid,0.016319132564157394,0.011796390525586703
regulation_rfr,0.034924135625931635,0.04095725431084192
residential mortgage satisfaction act,0.0066980627572980865,0.006712869743890379
restruct,0.20274490738773385,0.2114791490051348
rps_yearadopted,0.16317585978819954,0.16277387320172818
salvia,0.06532680938091204,0.06726437014574627
sdce,0.14194746576582862,0.11467680754853381
securities act,0.06453805413500674,0.07266755858723058
sexreginfo,0.04630644959388813,0.04954918226006774
simultaneous death act,0.02621053629637141,0.029124569658313837
smokeban,0.16086710564137718,0.17488014498321913
stalkdef,0.1847044442064996,0.1830290785127993
stalking,0.46295688712878613,0.470188704714114
standground,0.0814660333647087,0.07683393520321526
statutory form power of attorney act,0.04876948120815362,0.04563294439284202
statutory trust entity act,0.02040816326530612,0.02040816326530612
statutory will act (1984),0.020833333333333332,0.02
sundayban,0.2190273641486341,0.2155356329141208
supp_research,0.0995965091734252,0.10796009897927622
surplus lines insurance multi-state compliance compact,0.13560494577472793,0.11792903734020495
termlim,0.08910496695318358,0.0695447749088209
terrorfund,0.09824895275295867,0.09319670946585512
threestrikes,0.2314098228211845,0.2263807102062134
timelim,0.1399362264222102,0.1407004357534613
tod security registration act,0.1562639129926342,0.17198188751030952
trust code,0.14169552492410867,0.14013799920130496
"ucc article 1, general provisions (2001)",0.2126563893741673,0.22007471987136074
"ucc article 3, negotiable instruments (1990)",0.27004601796437006,0.2797896766486824
"ucc article 3, negotiable instruments and article 4, bank deposits (2002)",0.02576591985538984,0.02594772380058755
ucc article 4a amendments (2012),0.6827467779937495,0.6847702399845973
"ucc article 4a, funds transfers (1989)",0.48261634568824907,0.48443689902958437
"ucc article 5, letters of credit (1995)",0.46698550827909485,0.45895296555328163
ucc article 6 (repeal),0.03125,0.047619047619047616
ucc article 6 (revise),0.027623998329712546,0.03755566617474141
"ucc article 6, bulk sales (1989)",0.12857463737730646,0.1337698655016428
"ucc article 7, documents of title (2003)",0.1790340838711149,0.1774054897979089
"ucc article 8, investment securities (1994)",0.5029060703518689,0.5067999573354068
ucc article 9 amendments (2010),0.6321687813853905,0.6282845547271954
ultrasound,0.10274961078388944,0.09292311531961465
unclaimed property act,0.021237155172952563,0.022172750436792222
undoctuit,0.10394760620184014,0.10873459864563055
unincorporated nonprofit association act (1992)(1996),0.027787739553882303,0.023230004826304714
unincorporated nonprofit association act (2008) (last amended 2011),0.03283724082391906,0.03996457782204942
unionlimits,0.2616894136187438,0.26302442888807026
universalprek,0.020050543432827715,0.017815427478841364
